label,latitude,longitude,thickness,comendite,trachyte
P01,42.000000000,130.283000000,9.000000000,nan,nan
P02,41.333000000,130.417000000,10.000000000,nan,nan
P03,40.283000000,132.217000000,5.000000000,nan,nan
P04,40.867000000,132.650000000,4.000000000,nan,nan
P05,40.767000000,133.200000000,9.000000000,nan,nan
P06,41.350000000,134.435000000,16.000000000,10.880000000,5.120000000
P07,40.017000000,136.398000000,10.000000000,nan,nan
P08,40.745000000,136.938000000,0.100000000,nan,nan
P09,41.005000000,137.018000000,8.000000000,nan,nan
P10,41.873000000,137.657000000,11.000000000,nan,nan
P11,41.147000000,138.002000000,9.000000000,nan,nan
P12,41.423000000,138.260000000,7.400000000,nan,nan
P13,40.750000000,138.450000000,2.000000000,nan,nan
P14,40.952000000,138.667000000,11.000000000,nan,nan
P15,41.998000000,138.668000000,3.000000000,1.740000000,1.260000000
P16,40.898000000,139.015000000,6.000000000,nan,nan
P17,41.833000000,139.163000000,3.200000000,nan,nan
P18,40.895000000,142.278000000,0.200000000,nan,nan
P19,40.678000000,142.783000000,0.200000000,nan,nan
P20,42.633000000,141.567000000,2.000000000,nan,nan
P21,42.767000000,141.600000000,1.000000000,0.857142857,0.142857143
P22,42.466000000,140.550000000,1.000000000,nan,nan
P23,42.183000000,140.667000000,4.000000000,nan,nan
P24,41.883000000,141.083000000,5.000000000,nan,nan
P25,41.516000000,140.000000000,4.000000000,2.840000000,1.160000000
P26,40.300000000,141.333000000,5.000000000,nan,nan
P27,40.483000000,140.483000000,4.000000000,nan,nan
P28,46.710000000,151.660000000,1.500000000,nan,nan
P29,42.996000000,131.847000000,3.000000000,nan,nan
P30,43.393000000,132.795000000,2.000000000,nan,nan
P31,43.504000000,133.382000000,1.500000000,nan,nan
P32,43.522000000,134.144000000,1.000000000,nan,nan
P33,35.583000000,135.883000000,0.100000000,0.096666667,0.003333333
P34,43.078000000,145.101000000,1.000000000,1.000000000,0.000000000
P35,45.007000000,145.001000000,0.001440000,0.000938182,0.000501818
P36,42.283000000,126.600000000,0.002560000,0.000414118,0.002145882
P37,39.955000000,139.739000000,0.200000000,0.097142857,0.102857143
P38,42.633000000,140.307000000,4.000000000,2.162162162,1.837837838
P39,41.630000000,140.427000000,3.000000000,nan,nan
P40,41.781000000,141.100000000,4.000000000,nan,nan
P41,41.838000000,141.139000000,4.000000000,nan,nan
P42,42.301000000,140.271000000,2.000000000,nan,nan
P43,42.319000000,140.274000000,2.000000000,nan,nan
P44,42.484000000,140.353000000,1.000000000,nan,nan
P45,42.537000000,140.399000000,1.000000000,nan,nan
P46,42.555000000,140.420000000,1.000000000,nan,nan
P47,42.503000000,140.798000000,2.000000000,nan,nan
P48,42.395000000,140.911000000,1.000000000,nan,nan
P49,42.386000000,141.076000000,1.000000000,nan,nan
P50,42.440000000,141.151000000,1.000000000,nan,nan
P51,42.560000000,141.376000000,1.000000000,nan,nan
P52,42.617000000,141.782000000,1.000000000,nan,nan
P53,42.581000000,141.905000000,3.000000000,nan,nan
P54,42.555000000,141.939000000,1.000000000,nan,nan
P55,42.484000000,142.046000000,3.000000000,nan,nan
P56,42.473000000,142.118000000,2.000000000,nan,nan
P57,42.448000000,142.196000000,2.000000000,nan,nan
P58,42.309000000,142.432000000,3.000000000,nan,nan
P59,42.304000000,142.454000000,2.000000000,nan,nan
P60,42.266000000,142.513000000,2.000000000,nan,nan
P61,42.228000000,142.614000000,2.000000000,nan,nan
P62,42.217000000,142.642000000,1.000000000,nan,nan
P63,42.192000000,142.723000000,3.000000000,nan,nan
P64,42.137000000,142.860000000,4.000000000,nan,nan
P65,42.137000000,142.910000000,1.000000000,nan,nan
P66,41.990000000,143.245000000,4.000000000,nan,nan
P67,41.998000000,143.253000000,5.000000000,nan,nan
P68,42.306000000,126.283000000,0.010000000,0.010000000,0.000000000
P69,40.530000000,132.200000000,5.000000000,3.300000000,1.700000000
P70,43.650000000,142.850000000,1.000000000,0.733333333,0.266666667
P71,43.067000000,141.350000000,0.100000000,0.080000000,0.020000000
P72,44.351000000,146.256000000,1.000000000,1.000000000,0.000000000
P73,40.783000000,141.317000000,2.000000000,0.769230769,1.230769231
P74,36.197000000,131.096000000,0.010000000,nan,nan
P75,42.082000000,140.688000000,5.000000000,nan,nan
P76,42.014000000,128.420000000,100.000000000,nan,nan
P77,42.020000000,128.069000000,150.000000000,100.000000000,50.000000000
P78,42.050000000,128.242000000,60.000000000,10.000000000,50.000000000
P79,41.998000000,128.539000000,72.000000000,45.000000000,27.000000000
P80,42.011000000,128.423000000,90.000000000,50.000000000,40.000000000
P81,42.033000000,128.421000000,50.000000000,10.000000000,40.000000000
P82,42.074000000,128.416000000,50.000000000,0.000000000,50.000000000
P83,42.113000000,128.376000000,20.000000000,0.000000000,20.000000000